Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearsAtCompany_Safe,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerCluster,PromotionGapScore,RetentionOpportunityIndex,RetentionPriority,PCA1,PCA2
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,2.0,1.0,1.0,1.0,0.5,0,High,0.5499999999999999,Medium Priority,1.3379049514996268,-1.018502664429874
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,1.0,0.0,1.0,3.0,0.0,1,High,-0.3000000000000001,Low Priority,-2.3521503987963137,0.33037211335727834
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,4.0,0.25,0.5,1.25,0.75,1,Medium,0.07500000000000001,Low Priority,-0.6811623076573622,0.19304997037846572
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,10.0,0.1,0.0,0.5,0.8,1,Low,0.020000000000000018,Low Priority,-0.8304666296304465,0.09929328390935557
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1.0,0.0,0.0,6.0,0.0,4,Low,-1.2000000000000002,Low Priority,-2.9033448121538616,-1.580288236106432
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,2.0,1.0,0.0,1.0,0.0,4,High,0.2,Low Priority,-2.1801334440320996,-0.11614367761977572
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,5.0,0.2,0.6,0.6,0.8,1,Medium,0.22000000000000003,Low Priority,-0.8457547637984592,1.1249558143266005
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,3.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,Medium,0.1333333333333333,Low Priority,-1.5849516941710782,0.8508158098005317
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,2.0,1.0,1.0,1.5,1.0,0,High,0.4999999999999999,Medium Priority,-0.5620161046096235,2.756665198404095
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,1.0,0.0,1.0,3.0,0.0,1,High,-0.3000000000000001,Low Priority,-2.2905884129495986,0.2464045078736246
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,5.0,0.2,0.6,0.6,0.6,1,Medium,0.2,Low Priority,-0.6056049969447268,0.19606014166403954
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,1.0,0.0,0.0,3.0,0.0,4,Low,-0.6000000000000001,Low Priority,-3.1033388880886608,-1.0561794181395288
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,1.0,0.0,0.0,6.0,0.0,4,Low,-1.2000000000000002,Low Priority,-3.177804267439417,-1.2165140745350858
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1.0,0.0,0.0,2.0,1.0,1,Low,-0.30000000000000004,Low Priority,-2.3372522151470227,0.3522673821384277
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,9.0,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,3,High,0.3888888888888889,Medium Priority,1.46355273421838,0.14036817786705183
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,12.0,0.25,0.6666666666666666,0.16666666666666666,0.5833333333333334,3,Medium,0.325,Medium Priority,1.1071820478384697,0.41079615319579355
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,22.0,0.6818181818181818,0.6818181818181818,0.0,0.36363636363636365,2,High,0.5136363636363636,Medium Priority,6.079999633037299,-2.1631202621687233
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,9.0,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,0,High,0.5555555555555556,Medium Priority,1.5499220487357412,1.1039164378718818
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,1.0,0.0,0.0,1.0,0.0,4,Low,-0.2,Low Priority,-2.9649206505417385,-1.0703740273811435
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,9.0,0.0,0.6666666666666666,0.4444444444444444,0.8888888888888888,3,Medium,0.19999999999999998,Low Priority,0.606080454007359,0.49488434700662004
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,1.0,0.0,0.0,2.0,1.0,1,Low,-0.30000000000000004,Low Priority,-2.338852960174456,0.35445072182597664
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-2.258138506831694,-2.100540877830547
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,2.0,1.0,1.0,1.5,1.0,0,High,0.4999999999999999,Medium Priority,-0.4668384731868039,2.6268474594819127
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,4.0,0.25,0.75,0.5,0.75,1,High,0.29999999999999993,Low Priority,-0.4589197396153517,0.6878717370294088
35,0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,4.0,0.5,0.0,0.75,0.75,1,Medium,0.125,Low Priority,-0.42662005397052466,-0.9965025593386312
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,2.0,0.0,1.0,1.0,0.0,1,High,0.09999999999999998,Low Priority,-1.7001863547014184,-0.13689430227457391
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,15.0,0.5333333333333333,0.9333333333333333,0.06666666666666667,0.8,2,High,0.56,Medium Priority,4.499029070714351,0.22042853833591114
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,9.0,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.8888888888888888,3,High,0.33333333333333337,Medium Priority,1.6558110977115679,0.266051318667223
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,2.0,1.0,1.0,1.5,1.0,0,High,0.4999999999999999,Medium Priority,-0.428620685656828,2.5747202244416814
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,7.0,0.14285714285714285,1.0,0.42857142857142855,1.0,3,High,0.37142857142857144,Medium Priority,0.9354337589574299,1.3002889203371315
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,7.0,0.0,0.7142857142857143,0.2857142857142857,1.0,3,Medium,0.2571428571428571,Low Priority,0.35549718287586546,0.7266627127173557
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,9.0,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0,High,0.6,High Priority,2.2042660797294364,1.5441189033595546
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,10.0,0.9,0.3,0.2,0.9,0,High,0.5,Medium Priority,1.5121665219127063,1.0928119213701954
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,27.0,0.48148148148148145,0.1111111111111111,0.07407407407407407,0.2962962962962963,2,Medium,0.24074074074074076,Low Priority,4.276135743667081,-3.5326811863883725
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,21.0,0.3333333333333333,0.7619047619047619,0.14285714285714285,0.42857142857142855,2,High,0.37619047619047613,Medium Priority,3.8591475507200816,-0.38852616712026083
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,17.0,0.7058823529411765,0.8235294117647058,0.11764705882352941,0.47058823529411764,2,High,0.5529411764705883,Medium Priority,4.232198842272607,-0.044209263544574724
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,5.0,0.0,0.0,0.4,0.4,1,Low,-0.04000000000000001,Low Priority,-0.5477869860092394,-2.8037486674302263
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,6.0,0.0,0.8333333333333334,0.5,0.5,1,High,0.2,Low Priority,-0.369982155018657,0.11017156460993667
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-1.9684703545756985,-2.4956343887899273
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,3.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,Medium,0.26666666666666666,Low Priority,-1.3251108091996662,1.2021011769398322
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4,Low,0.0,Low Priority,-2.9070167935245266,-1.0620514954586366
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,4.0,0.25,0.75,0.5,0.75,1,High,0.29999999999999993,Low Priority,-0.45765248313530016,0.6861432597767659
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,5.0,0.0,0.8,0.6,0.8,1,High,0.2,Low Priority,-0.8277143117211914,1.2349639220317858
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,1.0,1.0,1.0,4.0,0.0,0,High,-0.10000000000000009,Low Priority,-1.7323914433101961,1.2021788631435002
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,10.0,0.0,0.4,0.3,0.9,3,Low,0.15000000000000002,Low Priority,0.4410505783741158,0.05152079433783952
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,1.0,0.0,0.0,3.0,0.0,4,Low,-0.6000000000000001,Low Priority,-3.0308384778878166,-1.1550665114881005
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,11.0,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.7272727272727273,3,Medium,0.2636363636363636,Low Priority,0.8229220737880089,0.40670060717505646
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,15.0,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.5333333333333333,3,High,0.34,Medium Priority,1.934865349727268,0.5038279440328638
45,0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0.1,0.0,0.0,30.0,0.0,4,Low,-6.0,Low Priority,-2.7396843474931964,-3.952037093918814
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,5.0,0.0,0.4,0.6,0.4,1,Low,0.04000000000000001,Low Priority,-0.44971541431614365,-1.7244216937648555
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,4.0,0.0,0.5,0.5,0.5,1,Medium,0.09999999999999999,Low Priority,-1.2629914622920524,-0.2377933200830243
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,10.0,0.3,0.8,0.1,0.0,1,High,0.33999999999999997,Medium Priority,0.006288769203512311,-0.321502726707832
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,6.0,0.0,0.6666666666666666,0.5,0.6666666666666666,1,Medium,0.16666666666666663,Low Priority,-0.9051296411743478,0.8223846119457344
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,1.0,1.0,0.0,4.0,0.0,4,High,-0.4,Low Priority,-1.348188062605468,-1.7118420695217498
38,0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,13.0,0.07692307692307693,0.8461538461538461,0.23076923076923078,0.6923076923076923,3,High,0.3076923076923077,Medium Priority,1.6879814503664292,0.5852016365626717
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,5.0,0.2,0.4,0.4,0.6,1,Low,0.18,Low Priority,-0.9035414608912149,-0.0006723643681187851
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,6.0,0.0,0.6666666666666666,0.5,0.3333333333333333,1,Medium,0.1333333333333333,Low Priority,-0.4559035012193816,-0.8468463193837795
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0.1,0.0,0.0,30.0,0.0,4,Low,-6.0,Low Priority,-4.051158170507962,-2.1844003271199854
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,4.0,0.0,0.5,1.0,0.75,1,Medium,0.024999999999999994,Low Priority,-1.5044578273561657,0.7588811601830922
